state,sum
Virginia,67272862.26
Washington,259493372.76
California,1837664059.13
Georgia,88605118.85
North Carolina,83758276.08
New York,274639265.61
Ohio,74515368.99
Tennessee,35612089.23
New Mexico,144521839.78
Michigan,683276704.6
Florida,222338467.23
Arizona,195643312.5
Illinois,184372875.97
Alabama,28790004.74
Nevada,54376906.4
Massachusetts,97273984.83
Texas,411587154.35
Oregon,110552211.6
Louisiana,45695136.58
Colorado,138902535.99
Indiana,30263391.43
Pennsylvania,132454002.67
Kentucky,16097002.4
South Carolina,60753772.9
Idaho,14413187.75
Missouri,32072833.33
